iter	Logloss
0	0.6864595947
1	0.6796875
2	0.6735647583
3	0.6662171021
4	0.6584465942
5	0.651836792
6	0.6455029297
7	0.6397640991
8	0.6341085205
9	0.6276524658
10	0.6215681152
11	0.61615979
12	0.6109726562
13	0.6054385986
14	0.600220459
15	0.594567749
16	0.5899942627
17	0.5844544067
18	0.5792766724
19	0.5745704346
20	0.5692558594
21	0.5643734131
22	0.5599440308
23	0.5550971069
24	0.5510518799
25	0.5465457153
26	0.5418421631
27	0.5380419312
28	0.5338444824
29	0.529440979
30	0.5252037354
31	0.5217310181
32	0.5176570435
33	0.513828186
34	0.5102612
35	0.5066552734
36	0.5033723755
37	0.5003521118
38	0.4967280884
39	0.494190155
40	0.4913962402
41	0.4883438721
42	0.4863401489
43	0.4835482788
44	0.4808102417
45	0.4779491272
46	0.4756519775
47	0.4733570557
48	0.4707890625
49	0.4682962036
50	0.4662511902
51	0.4637161255
52	0.4612297058
53	0.4587219849
54	0.4563052368
55	0.4539973755
56	0.4518691711
57	0.4499105225
58	0.4475963745
59	0.4456061401
60	0.4435641174
61	0.4411485596
62	0.4390796509
63	0.4372825317
64	0.4355358887
65	0.4334829712
66	0.4318574219
67	0.4304930725
68	0.4287195435
69	0.4270400391
70	0.4258551331
71	0.4243677368
72	0.4228592529
73	0.4211638794
74	0.4194124146
75	0.4176879883
76	0.4162806702
77	0.4149158936
78	0.4134187012
79	0.4123485718
80	0.4108800049
81	0.4094306946
82	0.4084447021
83	0.407125946
84	0.4060688477
85	0.4046680603
86	0.4034656372
87	0.402355896
88	0.4009711304
89	0.3997964478
90	0.398660553
91	0.3972698059
92	0.3960317993
93	0.3948652649
94	0.3940678101
95	0.3934541626
96	0.3922192383
97	0.3911453247
98	0.3905969238
99	0.3893731079
100	0.3885654297
101	0.387453186
102	0.3864952393
103	0.3850404053
104	0.3842323608
105	0.3834318542
106	0.3827387085
107	0.3818537903
108	0.3808026733
109	0.3798310547
110	0.3789118347
111	0.3781359558
112	0.3772992249
113	0.3762238159
114	0.375446228
115	0.3748441772
116	0.3739396973
117	0.3732122192
118	0.3721598511
119	0.3710930786
120	0.3706176758
121	0.3697602844
122	0.3690527954
123	0.368223877
124	0.3675028076
125	0.3665443115
126	0.3659933472
127	0.3652479858
128	0.3644681396
129	0.3637041626
130	0.3632258911
131	0.3623368835
132	0.361557251
133	0.3609456177
134	0.3602902832
135	0.3596044006
136	0.359282074
137	0.3586319275
138	0.3578851929
139	0.3574332581
140	0.3566030884
141	0.3556932373
142	0.3551641235
143	0.3543501587
144	0.3542076111
145	0.3535614014
146	0.352809967
147	0.3527319946
148	0.3522995911
149	0.3517971802
150	0.3515418396
151	0.3507567139
152	0.3501241455
153	0.3496550293
154	0.3492073975
155	0.3485903931
156	0.3479587402
157	0.347625946
158	0.3472502441
159	0.346567749
160	0.3463756714
161	0.3459595947
162	0.3452427673
163	0.3447073669
164	0.3440966797
165	0.3440397949
166	0.3436051941
167	0.3433325806
168	0.3428883362
169	0.3422019348
170	0.3421165771
171	0.3417373047
172	0.3412663574
173	0.3406906433
174	0.3400634766
175	0.339540741
176	0.3390180664
177	0.3385860596
178	0.3381663513
179	0.3377951355
180	0.3370834961
181	0.3363211975
182	0.3357538147
183	0.3352433777
184	0.3347169189
185	0.334159668
186	0.3336916504
187	0.3333339844
188	0.3328706665
189	0.3324750977
190	0.3319332886
191	0.3314293518
192	0.3310314941
193	0.3307216187
194	0.3304456787
195	0.3301178894
196	0.3293356934
197	0.3287983398
198	0.3284719543
199	0.3281016235
200	0.327524231
201	0.3271552124
202	0.3266759644
203	0.3262692261
204	0.325918335
205	0.3253900452
206	0.3250561829
207	0.3248152466
208	0.3245555725
209	0.3240112305
210	0.3233392029
211	0.3229647827
212	0.3225482178
213	0.3223604736
214	0.3223254089
215	0.3219021606
216	0.3215246277
217	0.3211638794
218	0.3207105713
219	0.3202889099
220	0.3199050598
